class_name,relative_path,filename,format,width,height,aspect_ratio,mean_r,mean_g,mean_b,md5
Kematangan,Master_Dataset\Kematangan\DS1_C4_1074_jpg.rf.19deecb6b2e522b7164921e26ef2c657.jpg,DS1_C4_1074_jpg.rf.19deecb6b2e522b7164921e26ef2c657.jpg,JPEG,224,224,1.0,0.4636225998401642,0.4256717562675476,0.3515510857105255,a4d92b5e21c51dbb08ba802aa7c506f5
Kematangan,Master_Dataset\Kematangan\DS1_C4_1075_jpg.rf.b5d3480d2640b2c013ac0d20cb25beca.jpg,DS1_C4_1075_jpg.rf.b5d3480d2640b2c013ac0d20cb25beca.jpg,JPEG,224,224,1.0,0.49447959661483765,0.4915409982204437,0.2309132218360901,39c5b6698fda612982fc94e3e563dc6f
Kematangan,Master_Dataset\Kematangan\DS1_C4_1076_jpg.rf.93e2223047e4f21b24c31c45a5de85b9.jpg,DS1_C4_1076_jpg.rf.93e2223047e4f21b24c31c45a5de85b9.jpg,JPEG,224,224,1.0,0.47595563530921936,0.4057391881942749,0.28714117407798767,1a37f4468e36964a8ab3742dfe4dd121
Kematangan,Master_Dataset\Kematangan\DS1_C4_1077_jpg.rf.0a4cd1ee5bd4d63f58a9467877ab31e2.jpg,DS1_C4_1077_jpg.rf.0a4cd1ee5bd4d63f58a9467877ab31e2.jpg,JPEG,224,224,1.0,0.5558988451957703,0.569145679473877,0.27657613158226013,4490c01ed1bc1c51225d53ae894710c0
Kematangan,Master_Dataset\Kematangan\DS1_C4_1078_jpg.rf.dcda01c9b237a1ca41899d2d2acd7797.jpg,DS1_C4_1078_jpg.rf.dcda01c9b237a1ca41899d2d2acd7797.jpg,JPEG,224,224,1.0,0.4021533727645874,0.5020319223403931,0.21173635125160217,ec7c4baa8754fb44fd52b872a3e05f4d
Kematangan,Master_Dataset\Kematangan\DS1_C4_1079_jpg.rf.346ce1cea5db7aac1602429666ef9051.jpg,DS1_C4_1079_jpg.rf.346ce1cea5db7aac1602429666ef9051.jpg,JPEG,224,224,1.0,0.4498862028121948,0.39099180698394775,0.1849481761455536,aa67409de3cb577ac96146d176ce55e5
Kematangan,Master_Dataset\Kematangan\DS1_C4_1080_jpg.rf.35db77e509022ceffabc0cc4c66fff76.jpg,DS1_C4_1080_jpg.rf.35db77e509022ceffabc0cc4c66fff76.jpg,JPEG,224,224,1.0,0.46694913506507874,0.39489448070526123,0.20425906777381897,4556ef1f098a68ef274566b0d5905004
Kematangan,Master_Dataset\Kematangan\DS1_C4_1081_jpg.rf.5903861c20cbeb2358e42607049eb3a1.jpg,DS1_C4_1081_jpg.rf.5903861c20cbeb2358e42607049eb3a1.jpg,JPEG,224,224,1.0,0.5317426919937134,0.4247742295265198,0.21224342286586761,c17451a961bcb7846b281f6445666aed
Kematangan,Master_Dataset\Kematangan\DS1_C4_1082_jpg.rf.6d4d36316924d8cd7f70d633b88d8ecd.jpg,DS1_C4_1082_jpg.rf.6d4d36316924d8cd7f70d633b88d8ecd.jpg,JPEG,224,224,1.0,0.536152184009552,0.468822181224823,0.24005553126335144,f5122e4e2e27738964063727b5373d8b
Kematangan,Master_Dataset\Kematangan\DS1_C4_1083_jpg.rf.4b45f2c5090d1906bc9e6320b7300e77.jpg,DS1_C4_1083_jpg.rf.4b45f2c5090d1906bc9e6320b7300e77.jpg,JPEG,224,224,1.0,0.4735480844974518,0.49829304218292236,0.2201702743768692,6178ab556bf3c5853a7692ad08a937b8
